review,sentiment,clean_review
Sip lah,positif,sip
"sering ada bug, jelek banget",negatif,bug jelek banget
"Setelah d upgrade, aplikasinya malah lambat loading, bagusan versi lama ketimbang yg ada saat ini... Mohon diperbaiki sistemnya. Makasih",negatif,d upgrade aplikasi lambat loading bagus versi ketimbang yg mohon baik sistem makasih
Mayan lah bisa nyari2 gambar,positif,mayan nyari gambar
Good,positif,good
Jdi GK jelas kocak masa ngga bisa masuk skli masuk akun ditangguhkan,negatif,jdi gk kocak ngga masuk skli masuk akun tangguh
sering refresh sendiri pdhl lg liat crita org,negatif,refresh pdhl lg liat crita org
"Gatau kenapa lama² aplikasi nya lemot, padahal jaringan nya full hadeh.. semoga segera di perbaiki developer",negatif,gatau lama aplikasi nya lot jaring nya full hadeh moga baik developer
Explore nya refresh sendiri mulu,negatif,explore nya refresh mulu
"X aneh bet. Baru pertama kali lagi login ke akun lama, tapi akun laman nya kena tangguh dengan alasan menyalahi aturan. lah, padahal dari dulu gak pernah aneh-aneh sama jarang login. Mau mengajukan banding, tapi error terus.",negatif,x aneh bet kali login akun akun laman nya kena tangguh alas salah atur gak anehaneh jarang login aju banding error
bintang 3 dulu,netral,bintang
Siap 86 good,positif,good
Log out sendiri... Elonmusk tolol,negatif,log out elonmusk tolol
"Gak tau harus ngomong apa nih sama aplikasi jelek ky begini, masa akun gw tiba² keluar sendiri trs harus autentikasi dg cara maen game arkose..karena gagal maennya trs akun gw udh sebulan lebih sampai sekarang dikunci, yg gw tanyakan "" Salah Gw Dimana?"", kan aplikasinya yg tiba² keluar sendiri, tapi akun gw jadi dikunci, otoriter banget ini si !!!",negatif,gak tau ngomong nih aplikasi jelek ky akun gw tiba trs autentikasi dg maen game arkosekarena gagal maennya trs akun gw udh bulan kunci yg gw salah gw mana aplikasi yg tiba akun gw kunci otoriter banget si
Udah bayar premium tapi gabisa dipakai.,negatif,udah bayar premium gabisa pakai
BOSOKK,negatif,bosokk
Ok,positif,ok
Bisa ngedapetin item,positif,ngedapetin item
Dah kurang bagus kl untuk vidio banyak loading,negatif,dah bagus kl vidio loading
Nice,positif,nice
jir semenjak twitter ber alih ke elon musk jadi rada berat ey,positif,jir semenjak twitter ber alih elon musk rada berat ey
jaringan di perbaiki,negatif,jaring baik
Gk bisa login email saya dikira punya org lain padahal saya sendiri yg punya terus pas komplain malah tidak nyambung dengan yg saya alami,negatif,gk login email org yg pas komplain nyambung yg alami
goood,positif,goood
Oke,positif,oke
Bahkan mau download apk nya pun lag anjj,negatif,download apk nya lag anjj
"Kemajuan pesat untuk twitter yang sekarang ini, bikin tambah suka aplikasi twitter hehe suskes selalu X Corp.",positif,maju pesat twitter bikin suka aplikasi twitter hehe suskes x corp
Nice,positif,nice
Josss,positif,josss
Setelah sekian lama twiter di perbaiki semakin bagus dapat menjangkau semua ny saya masih setia menggunakan aplikasi ini selama hampir 3 tahun lebih dan makin ke sini makin bagus aplikasi nya tidak mengecewakan,positif,sekian twiter baik bagus jangkau ny setia aplikasi bagus aplikasi nya kecewa
baru datang dari indonesia ke malaysia buka twitter akun langsung suspen permanent gak gelas,negatif,indonesia malaysia buka twitter akun langsung suspen permanent gak gelas
Good,positif,good
Menghibur,positif,hibur
Good,positif,good
Mantap,positif,mantap
eror mulu,negatif,eror mulu
Jos,positif,jos
Good,positif,good
top,positif,top
Keren dan sangat super dalam memberikan up date berita terbaru,positif,keren super up date berita baru
Bnyak,positif,bnyak
Ok,positif,ok
Jelek emang. Lagi scroll kebawah malah kereset ke atas lagi,negatif,jelek emang scroll bawah kereset
tolong update aplikasi ini supaya bisa mengedit tangal lahir pengguna,negatif,tolong update aplikasi edit tangal lahir guna
"Bodoh Elon mask hanya memikirkan keuntungan semata,, akun saya di tangguhkan, padahal tidak pernah melanggar,, lebih enak yang dulu masih Twitter,, yang sekarang itu yang dipikirkan hanya keuntungan doang",negatif,bodoh elon mask pikir untung akun tangguh langgar enak twitter pikir untung doang
BISA GAAA GAUSA AUTO REFRESH???? KLO AK MW LIAT TWEET LAIN AK SCROLL SNDRI KOKKKK GAUSAA SOK SOK AN BANTU NGEREFRESHH PLSSS MALAH NYUSAHIN😭,negatif,gaaa gausa auto refresh klo ak mw liat tweet ak scroll sndri kokkkk gausaa sok sok an bantu ngerefreshh plsss nyusahin
"payah,akun saya di tangguh kan padahal saya ga pernah melanggar,terus pas saya mau batalkan tetap aja ga bisa gmn sih X sekarang,burik banget 👎👎",negatif,payahakun tangguh ga melanggarterus pas batal aja ga gmn sih x sekarangburik banget 
"Saya mau nanya, ini kenapa ada konten dewasa di kata kata topik? Aman ini jelek banget ini, karena ada konten dewasa bbikin saya khawatir😭😭",negatif,nanya konten dewasa topik aman jelek banget konten dewasa bbikin khawatir
Sayang banget ini aplikasi semenjak update jadi jelek pas buka aplikasi langsung repres sendiri tolong di perbaiki,negatif,sayang banget aplikasi semenjak update jelek pas buka aplikasi langsung repres tolong baik
Sesat ajg gw cari hp second yg kluar bokep ngotak lah,negatif,sesat ajg gw cari hp second yg kluar bokep ngotak
Bagus,positif,bagus
"Bagus apk ny, cuma terlalu sering login ulang.",positif,bagus apk ny login ulang
"tolong dong bisa ngedit kalo salah ngetik, jd ga harus dihapus terus ulangi lg deh",positif,tolong ngedit kalo salah ngetik jd ga hapus ulang lg deh
Semakin sulit,negatif,sulit
Twitter sungguh sangat baik dan memuaskan,positif,twitter sungguh muas
aplikasi nya sekarang gak jelas! setiap lagi scroll tl selalu ke refresh mulu! postingan yg mau diliat jadi ilang,negatif,aplikasi nya gak scroll tl refresh mulu postingan yg liat ilang
Usut,positif,usut
"kadang kadang lemot banget, padahal udah di update",netral,kadang kadang lot banget udah update
"Sudah tahu asli manusia,masih saja verifikasi humans",negatif,asli manusiamasih verifikasi humans
UPS ...oke,positif,ups oke
"Gambar kucing di suspen otomatis, Giliran Vidio Bokep dibiarin beredar.. Mentang-mentang Mereka Berbayar😂😂😂",negatif,gambar kucing suspen otomatis gilir vidio bokep dibiarin edar mentangmentang bayar
"apaan cok,gw udah instal berkali kali tetp aja ga bisa masuk,saran aja deh,mending balikin kayak dulu",negatif,cokgw udah instal kali kali tetp aja ga masuksaran aja dehmending balikin kayak
Suka refresh sendiri pas di beranda,negatif,suka refresh pas beranda
mantap,positif,mantap
Bnyk bok$p nya,negatif,bnyk bokp nya
Gk. Jelass,negatif,gk jelass
Gak jelas .. fix uninstal..sangat kecewa.. pengguna lama dari twiter jadul . kasih bintang lima biar d taro d depan biar banyak yg baca.. masa akun d tangguhkan udah mah gak bisa pake akun lain. Note jangan bilang akun d tangguhkan TAPI APLIKASI DITANGGUHKAN .. KARNA TIDAK BISA DI GUNAKAN mungkin itu yg lebih baik ..atau intinya harus upgrade berbayar biar tidak d tangguhkan padahal aplikasi ini isinya banyak konten bokep semua saya keberatan karna yg punya akun bokep nya aja gak di tangguhkan,positif,gak fix uninstalsangat kecewa guna twiter jadul kasih bintang biar d taro d biar yg baca akun d tangguh udah mah gak pake akun note bilang akun d tangguh aplikasi tangguh karna yg inti upgrade bayar biar d tangguh aplikasi isi konten bokep berat karna yg akun bokep nya aja gak tangguh
"Aplikasi makin dongo, kadang ga bisa refresh, kadang malah cepet bgt ngerefresh padahal lagi enak baca, lemot ga karu karuan, mending di ambil alih Twitter lagi aja dah, tim elon musk dongo dongo",negatif,aplikasi dongo kadang ga refresh kadang cepet bgt ngerefresh enak baca lot ga karu karuan mending ambil alih twitter aja dah tim elon musk dongo dongo
"Kenapa kalo sedang menonton postingan video X, trus scroll tapi suara dari video sebelum nya selalu ikut di video yang lain, ini berlaku di 2 device android gw!",netral,kalo tonton postingan video x trus scroll suara video nya video laku device android gw
Cuma bisa 10x scroll?,netral,x scroll
Fredom Konten & Nice Respon Too,positif,fredom konten nice respon too
Mantap 👍👍👍👍👍,positif,mantap 
"Saya sangat suka aplikasi ini krn setiap ada video yg viral,wajah² pelaku tidak d buramkan, seperti aplikasi lain, bintang 5",positif,suka aplikasi krn video yg viralwajah laku d buram aplikasi bintang
"Apk paling burik semenjak di kelola elon musk, akun gw ditangguhkan pdhl gw g ngapa ngapain",negatif,apk burik semenjak kelola elon musk akun gw tangguh pdhl gw g ngapa ngapain
Elon greedy ruining Twitter now its ugly many accounts suddenly suspended appeal no response damn,negatif,elon greedy ruining twitter now its ugly many accounts suddenly suspended appeal no response damn
dAmn!!,positif,damn
"Ngebug, keluar mulu. Saat ingin login kembali, tulisannya terjadi kesalahan. Tolong diperbaiki.",negatif,ngebug mulu login tulis salah tolong baik
Biasa aja..cnderung jlk sbnr nya... Aplikasi sampah daur ulang,negatif,ajacnderung jlk sbnr nya aplikasi sampah daur ulang
GG uuGyi g,negatif,gg uugyi g
Kagak bisa login ke akun biasanya,negatif,kagak login akun
"Untuk Oppo a16 sering bug gabisa memulai apk awal ,terus post apa dikit lgsg akun di tangguhkan padahal konten porno berkeliaran di biarkan saja..parah",negatif,oppo a bug gabisa apk post dikit lgsg akun tangguh konten porno liar biar sajaparah
SEMENJAK DI PEGANG X MAKIN GA JELAS GA SERU KAYA DLU BALIKIN LAH TWITER DLU INI APK JADI NORAK NAJIS,negatif,semenjak pegang x ga ga seru kaya dlu balikin twiter dlu apk norak najis
Jelek banyak iklan slot,negatif,jelek iklan slot
My account is always got suspended i dont know why,negatif,my account is always got suspended i dont know why
Ok fine,positif,ok fine
"semenjak era MELON from Twitter to X jadi jelek bgt sering ngebug, terlalu banyak iklan anjrit suruh cenblue Elon BU bgt dah, mana 3 acc ku lenyap semua kesushi dilahap Elon 😔 kangen era Jeki meskipun akunku sering diburjek tapi masih aman gapernah 🍣 pokoknya semenjak era melon X dijadiin duit semuanyaaa serba berbayar!! mana makin banyak affiliator shopee nyampah spam belum lagi circle para cenblue asbun gajelas tweet apa reply apa ngeselin beda banget sama era Twitter dipimpin oleh Jeki 😭",negatif,semenjak era melon from twitter to x jelek bgt ngebug iklan anjrit suruh cenblue elon bu bgt dah acc ku lenyap kesushi lahap elon  kangen era jeki akun diburjek aman gapernah  pokok semenjak era melon x dijadiin duit semuanyaaa serba bayar affiliator shopee nyampah spam circle cenblue asbun gajelas tweet reply ngeselin beda banget era twitter pimpin jeki 
Memuaskan,positif,muas
Sangat puas,positif,puas
Menarik,positif,tarik
Lag bgt asu,negatif,lag bgt asu
kirain jaringan gua bermasalah TERNYATA APPNYA,negatif,kirain jaring gua masalah appnya
Mantap X,positif,mantap x
Josss,positif,josss
"bisa hilangin scroll otomatis nya gak sih? itu fitur paling gak berguna, kalau video nya habis ya putar ulang aja, ini malah di scroll otomatis dan ada bug nya, dimana pas kita keluar dari video, musik nya gak mau berhenti. Mending hapus aja fitur nya, gak berguna banget. Trus sekarang malah refresh sendiri.",negatif,hilangin scroll otomatis nya gak sih fitur gak guna video nya habis ya putar ulang aja scroll otomatis bug nya mana pas video musik nya gak henti mending hapus aja fitur nya gak guna banget trus refresh
So bad,negatif,so bad
Ga jelas,negatif,ga
Ok,positif,ok
Susah login,negatif,susah login
agak lemot aplikasi nya sekarang,negatif,lot aplikasi nya
lemot bgttt,negatif,lot bgttt
So Intresting,positif,so intresting
Gk bagus,negatif,gk bagus
Banyak nge bug nya,negatif,nge bug nya
Sangat berguna..👍👍👍,positif,guna
Bagussss,positif,bagussss
update setiap seminggu sekali tujuannya apa? aplikasi sering loughout sendiri makin sering update makin nambah full iklan👎,negatif,update minggu tuju aplikasi loughout update nambah full iklan
Mntppp buat nonton bokeb,positif,mntppp nonton bokeb
Semuanya sudah bagus hanya saja berikan resolusi video untuk tontonan yang lebih bagus,positif,bagus resolusi video tonton bagus
gabisa di APUS babi,negatif,gabisa apus babi
Banyak akun² porn dan judol yg menyamar sbg iklan investasi dll,negatif,akun porn judol yg samar sbg iklan investasi dll
akun² bokep nya hapus lah,negatif,akun bokep nya hapus
"Hello X, akun saya ke tidak bisa mengubah tanggal lahir, padahal sudah sesuai. Terkadang saya tidak bisa melihat post-an karena usia. Saya sudah mengirimkan masalah tapi belum ada tanggapan. Ayo dong, tanggapi masalahnya suapaya saya bisa menggunakan akun saya kembali.",negatif,hello x akun ubah tanggal lahir sesuai terkadang postan usia kirim tanggap ayo tanggap suapaya akun
Setelah di update malah lola loading lambat. Jelek banget.,negatif,update lola loading lambat jelek banget
Ok,positif,ok
"semenjak di ganti jadi X, sekarang ada batasan postingan, postingan lama tidak ada, harus unduh arsip. saat buka 1 video di beranda lalu keluar, eh malah refresh beranda. Tolong lah jadi ilang konten sebelumya kerena refresh!",negatif,semenjak ganti x batas postingan postingan unduh arsip buka video beranda eh refresh beranda tolong ilang konten sebelumya rena refresh
Mantab,positif,mantab
"kangen Twitter, sedikit menyebalkan",negatif,kangen twitter sebal
Mau masuk akun sendiri susahnya gk ketulungan.,negatif,masuk akun susah gk ketulungan
Semenjak di update gak bisa login masa 😭,negatif,semenjak update gak login 
Keren,positif,keren
Wenaak,positif,wenaak
Top,positif,top
Ok,positif,ok
SAMPAH!,negatif,sampah
Nice application,positif,nice application
aplikasi terhebat mau login aja ribet 👎👎👎,negatif,aplikasi hebat login aja ribet 
"Saya tidak bisa mengakses akun saya, karena harus memasukkan nomor telepon saya yang tidak bisa dipakai lagi, mohon sekali bantuannya agar saya bisa mengakses akun saya kembali tanpa memasukkan nomor,",negatif,akses akun masuk nomor telepon pakai mohon bantu akses akun masuk nomor
Bagus,positif,bagus
"Bagus banget, x thankyou ✅",positif,bagus banget x thankyou 
Good,positif,good
Mantap,positif,mantap
Sering log out sendiri Apk aneh Mau log in malah dibilang upaya pergantian kata sandi terus Jadi anda log out saya tidak boleh log in lagi kh?,negatif,log out apk aneh log in bilang upaya ganti sandi log out log in kh
good,positif,good
Mantul,positif,mantul
Mau masuk aja susah bangettt jnck,negatif,masuk aja susah bangettt jnck
Black screen trusss...benerin lahh,negatif,black screen trusssbenerin lahh
Aplikasi tolol! Lagi online tiba-tiba akun logout sendiri.,negatif,aplikasi tolol online tibatiba akun logout
Bagus,positif,bagus
Keren,positif,keren
Untuk inbok masuk kadang suka telat . Org inbok jam berapa ? Masuk nya jam berapa? Suka telat inbok masuk nya. Tolong di perbaiki lagi,positif,inbok masuk kadang suka telat org inbok jam masuk nya jam suka telat inbok masuk nya tolong baik
"Aplikasi semakin rusak, memberikan komen terhadap postingan di anggap melakukan spam.",negatif,aplikasi rusak komen postingan anggap spam
Bermanfaat,positif,manfaat
Good,positif,good
Mantap,positif,mantap
Ok,positif,ok
👍 Mantap...,positif, mantap
Bagus,positif,bagus
Iya,positif,iya
Oke,positif,oke
Tempat berkeluh kesah,positif,keluh kesah
Membantu,positif,bantu
nice,positif,nice
Dibanned ga jelas,negatif,dibanned ga
Good,positif,good
sistem nya error gjls,negatif,sistem nya error gjls
Mantap apk x👍👍,positif,mantap apk x
Sangat bagus,positif,bagus
Twitter sekarang pengek gila udah daftar suruh daftar lagi gila yang buat aplikasi twitter,negatif,twitter kek gila udah daftar suruh daftar gila aplikasi twitter
Sebaiknya Twitter harus ada gantinya,negatif,twitter ganti
Aplikasinya bagus buat hiburan di rumah dengan pasangan.. cuma kadang x selalu kurang percaya dengan profil pribadi saya..namun saya tetap suka app x sukses selalu,positif,aplikasi bagus hibur rumah pasang kadang x percaya profil pribadi sayanamun suka app x sukses
Terima kasih,positif,terima kasih
"Jelek,padahal jaringan saya bagus hp saya juga bagus tapi tetap saja gambar tidak muncul",negatif,jelekpadahal jaring bagus hp bagus gambar muncul
"Apk tolol,apk ribet sundalak",negatif,apk tololapk ribet sundalak
"akun saya banyak yang hilang, gabisa login akun sebelumnya udah masukin akun gmail tapi gamau terima password gamau ter log in",negatif,akun hilang gabisa login akun udah masukin akun gmail gamau terima password gamau ter log in
"Mau menambahkan nomer telepon aja gagal terus, katanya ada kesalahan teknis sampai habis pulsa 10k cuma buat kirim kode verifikasi tapi verifikasinya eror terus. Pengaturannya yang sekarang malah makin jelek tapi apa-apa harus bayar.",negatif,nomer telepon aja gagal salah teknis habis pulsa k kirim kode verifikasi verifikasi eror atur jelek apaapa bayar
Sip deh lumayan,positif,sip deh lumayan
Saya pakai aplikasi tidak untuk ngapa2 main kunci2 aja lama2 gua bantai juga nhe CEOnya,negatif,pakai aplikasi ngapa main kunci aja gua bantai nhe ceonya
Aplikasi nya oke tapi setiap buat akun kena tangguh mulu,netral,aplikasi nya oke akun kena tangguh mulu
guud,positif,guud
Mntapsss,negatif,mntapsss
Kenapa gk bisa dipencet akhirnya ulang download,netral,gk pencet ulang download
Mantab buat VIRAL,positif,mantab viral
Bagus aplikasinya,positif,bagus aplikasi
Tidak bisa masuk,negatif,masuk
Lemot,negatif,lot
Apk manja dikit-dikit Menangguhkan Akun,negatif,apk manja dikitdikit tangguh akun
aplikasi sampah,netral,aplikasi sampah
Hi X don't force all users to premium. thanks,positif,hi x dont force all users to premium thanks
Apak yang bagus bisa menambah wawasan terhadap perkembangan dunia.,positif,apak bagus tambah wawas kembang dunia
Ok,positif,ok
Applications serve people connect,positif,applications serve people connect
Rizki,negatif,rizki
"makin ga jelas bokep ada dimana mana, ngapa ga langsung di ilangin dah",negatif,ga bokep mana ngapa ga langsung ilangin dah
Lemot banget,negatif,lot banget
Informatif,positif,informatif
"udah premium+ tetap aja ditangguhkan, padahal gk ngapa ngapain",negatif,udah premium aja tangguh gk ngapa ngapain
Bintang 5,positif,bintang
membuat ku selalu mengingat nya,negatif,ku nya
Ok,positif,ok
Bagau banyak bokep nya saya suka tobrut,positif,bagau bokep nya suka tobrut
Aplikasi yang bagus untuk mencari update berita apapun 👍🏻👍🏻💯,netral,aplikasi bagus cari update berita apa 
makin hari makin tolol aja ni aplikasi,negatif,tolol aja ni aplikasi
Ok banget,positif,ok banget
Suka log out sendiri aneh banget lagi maen malah di log out paksa,netral,suka log out aneh banget maen log out paksa
Good,positif,good
Makin update makin jelek ☺️☺️ Aman versi lama,negatif,update jelek  aman versi
JELEK BANGET GABISA BUKA QRT ORANG ORANG + minta di update mulu,negatif,jelek banget gabisa buka qrt orang orang update mulu
Good,positif,good
Kog sy instal aplikasi x di hp samsung a5 gk bisa ..kenapa ya,negatif,kog sy instal aplikasi x hp samsung a gk ya
Oke,positif,oke
Ok,positif,ok
"Ribet bngt login, susah masuk",negatif,ribet bngt login susah masuk
Terlalu sering update.,negatif,update
Update beritanya sangat cepat,positif,update berita cepat
"Cukup puas,walaupun ya sebagai pengguna free sangat terganggu dengan iklan-iklan yang sangat tidak relevan",positif,puaswalaupun ya guna free ganggu iklaniklan relevan
Video dunia Video porno,positif,video dunia video porno
Bagus,positif,bagus
Wow,positif,wow
Bolehlah postingan para sahabat,positif,postingan sahabat
Gods,positif,gods
Mantap,positif,mantap
Mantaf saya suka,positif,mantaf suka
Seruu banyak gambar gambar lucu,positif,seruu gambar gambar lucu
bisa ngeliat posting jake akuu,positif,ngeliat posting jake akuu
Aplikasi nya sering refresh ketika sedang melihat postingan Seperti ketika melihat foto postingan orang lain Tiba-tiba ke awal lagi padahal mau nya sudah ditengah jalan ngeliat nya malah balik lagi ke awal,negatif,aplikasi nya refresh postingan foto postingan orang tibatiba nya tengah jalan ngeliat nya
Ok,positif,ok
Mantap,positif,mantap
X terbaik,positif,x baik
Semenjak ganti nama jdi X jaringan nya lemah bget,negatif,semenjak ganti nama jdi x jaring nya lemah bget
Kenapa akun saya di suspend Jelaskan aktivitas saya mencurigakan atau apa. Akun saya @sandy64203125,negatif,akun suspend aktivitas curiga akun sandy
Nih aplikasi update nya seminggu sekali apa ya? Kalo gak di update nge load pagenya aja lama banget....,negatif,nih aplikasi update nya minggu ya kalo gak update nge load pagenya aja banget
Topp,positif,topp
Aplikasi yg mantap,positif,aplikasi yg mantap
gw ga ngapa2 in anjir tiba2 bgt ditngguhkan?,negatif,gw ga ngapa in anjir bgt ditngguhkan
Infonya lengkap,positif,info lengkap
"Aneh ga direspon laporan bantuan, ajukan banding jugasudah berkali-kali, tapi ga ditanggapi, ga ada fitur atau solusi, tolonglah kembalikan akun saya, akun x saya; matupar5",negatif,aneh ga direspon lapor bantu aju banding jugasudah berkalikali ga tanggap ga fitur solusi tolong kembali akun akun x matupar
Apk t*i,negatif,apk ti
susah bgt mau login sekarang apaan banget coba!?,negatif,susah bgt login banget coba
Have To Success,positif,have to success
Ok,positif,ok
Aplikasi bagus banget si menurut aku tapi tolong di urutin mana yang udah beberapa jam mana yang baru,positif,aplikasi bagus banget si tolong urutin udah jam
Bagusan Twitter,negatif,bagus twitter
"Ribet amat ni apk, segala harus masukin username pula. Mana gua lupa lagi user name gua",negatif,ribet ni apk masukin username gua lupa user name gua
Opek,positif,opek
Menyukai,positif,suka
Nyesel banget ngupdate X. Malah jadi lemot. Parah banget lemotnya bermenit-menit. 👎🏻,negatif,nyesel banget ngupdate x lot parah banget lot bermenitmenit 
Login,positif,login
gk bisa masuk,negatif,gk masuk
Saya tidak mau dengan orang baru bee syg saya selalu syg ko wanimbokwe awaeee love you so much for following,positif,orang bee syg syg ko wanimbokwe awaeee love you so much for following
Knp login kudu pake nickname?,negatif,knp login kudu pake nickname
Makin di update makin ga jelas suka keluar Keluar sendiri!!!!,negatif,update ga suka
lemot,netral,lot
"X ini adalah aplikasi yg bagus buat melihat berita terbaru. Tapi tolonglah ada banyak hal yg tidak senonoh, tiap kali buka trend selalu ada poto atau video asusila. Nda mau ngasi bintang bagus kalau dri kalian sendiri ga ngebatasin",negatif,x aplikasi yg bagus berita baru tolong yg senonoh kali buka trend poto video asusila nda ngasi bintang bagus dri ga ngebatasin
Bgus,positif,bgus
Tetap konsisten dan menjadi aplikasi yang handal,positif,konsisten aplikasi handal
kecewa sekali karena aplikasi ini mudah sekali membanned akun yg menurut saya tidak pantas untuk dibanned dan untuk memulihkan nya susah banget,negatif,kecewa aplikasi mudah membanned akun yg dibanned pulih nya susah banget
Why can't I add a mobile number? I want to subscribe to Twitter so I can upload my articles. But I can't. How do I subscribe? Thanks.,positif,why cant i add a mobile number i want to subscribe to twitter so i can upload my articles but i cant how do i subscribe thanks
Sangat membantu,positif,bantu
Saya baru coba aplikasi ini Kasi bintang liman aja langsung,positif,coba aplikasi kasi bintang liman aja langsung
Tolong apk nya lemot bnget suka rifes sendiri,negatif,tolong apk nya lot bnget suka rifes
Aplikasi lemot hapus aja aplikasinya,negatif,aplikasi lot hapus aja aplikasi
Lemot suu,negatif,lot suu
Sangat puas,positif,puas
"Semenjak berganti nama X, sumpah lemot dan lambat banget. Dikit-dikit update mulu, fakkkk elon fakkkk!",negatif,semenjak ganti nama x sumpah lot lambat banget dikitdikit update mulu fakkkk elon fakkkk
Aplikasi lemot setelah berganti nama,negatif,aplikasi lot ganti nama
Ribet,netral,ribet
"Saat saya mencari sesuatu tidak bisa salalu ada tulisan ""Maaf, ada kesalahan teknis "" "" Teang -ini bukan kesalahan anda "" Selalu gitu aja tulisannya muncul sudah dari waktu itu sama mau mencarik sesuatu jadi gak bisa semoga di perbaiki segera kesalahan itu biar gak banyak yang ngeluh tentang aplikasi ini lagi",negatif,cari salalu tulis maaf salah teknis teang salah gitu aja tulis muncul carik gak moga baik salah biar gak ngeluh aplikasi
Bagus,positif,bagus
Ga bisa masuk,negatif,ga masuk
Banyak sekali kesalahan teknis 😒,negatif,salah teknis 
Sering bnget update padahal sblm ganti X aman lancar,positif,bnget update sblm ganti x aman lancar
Bagus,positif,bagus
Menyenagkan...,positif,menyenagkan
"Parah, , mndadak g bsa d buka",negatif,parah mndadak g bsa d buka
Cukup bagus,negatif,bagus
Top BGT,positif,top bgt
mantap cuy bisa liat bkp,positif,mantap cuy liat bkp
Apa bener aplikasi x bisa menghasilkan uang,negatif,bener aplikasi x hasil uang
"Ya ya bagus, tapi saya sering main di web.",positif,ya ya bagus main web
gagal memposting tweet terus di x,negatif,gagal memposting tweet x
suka lemot bangett,netral,suka lot bangett
bnyk bokep,positif,bnyk bokep
Menghibur.,positif,hibur
"Pengalaman dalam login akun, berselancar dalam aplikasi yang sedikit lambat",positif,alam login akun selancar aplikasi lambat
ok,positif,ok
Ok,positif,ok
Good network but always spinning apps that shouldn't be in this bastard world,negatif,good network but always spinning apps that shouldnt be in this bastard world
I like link,positif,i like link
gw uninstall aja lah... gak salah apa apa akun di tangguhkan melulu bangke banding aja gk bisa,negatif,gw uninstall aja gak salah akun tangguh melulu bangke banding aja gk
Haram banyak bok3p,negatif,haram bokp
elon svcks,negatif,elon svcks
"Yang di update apa si g pernah bener Akun sering log out sendri,verifikasi keamanan jg mengganggu hmpir tiap masuk akun di kunci ...",negatif,update si g bener akun log out sendriverifikasi aman jg ganggu hmpir masuk akun kunci
layak untuk tidak mendapatkan bintang satupun! tidak berguna,negatif,layak bintang satu guna
Sangatlah bagus untuk di gunakan tingkatkan kualitas yang lebih baik dan bagus,positif,bagus tingkat kualitas bagus
"knp suka macet pas liat vidio, tlng dibener kan dong elon musk",positif,knp suka macet pas liat vidio tlng dibener elon musk
Kurang bokeb,negatif,bokeb
Puas,positif,puas
Cocok untuk nonton bkp,positif,cocok nonton bkp
Kau rang akurat,netral,kau rang akurat
"Kenapa akun saya kena tangguhan padahal baru juga mau pakai kan dulu nya tweeter, saya baru tau kalo udah ganti jadi x maka nya saya bingung pas mau log in tolong solusi nya agar tidak di tangguhkan lagi akun saya, semoga aja saya bisa log in seperti biasa",positif,akun kena tangguh pakai nya tweeter tau kalo udah ganti x nya bingung pas log in tolong solusi nya tangguh akun moga aja log in
There's no problem with my signal but x always buffers & can't load anything,negatif,theres no problem with my signal but x always buffers cant load anything
Saya sangat suka dengan aplikasi twitternya untuk membantu informasi saya,positif,suka aplikasi twitternya bantu informasi
Bagus,positif,bagus
Semenjak ganti x sekarang banyak banget iklannya kadang suka masuk sendiri ngeganggu banget,negatif,semenjak ganti x banget iklan kadang suka masuk ngeganggu banget
"Kesel gue sama X, masukin nomor malah dibilang kesalahan teknis.",negatif,kesel gue x masukin nomor bilang salah teknis
Informatif,positif,informatif
"X sekarang jelek bgt sumpah semenjak sama Elon, gambarnya lemot bgt munculnya pdhl wifi sm paket data lancar jaya di aplikasi lain",negatif,x jelek bgt sumpah semenjak elon gambar lot bgt muncul pdhl wifi sm paket data lancar jaya aplikasi
"Saya kasih bintang 3 dulu, soalnya saya belum mendapatkan tanggapan tentang kenapa akun saya tiba-tiba ditangguhkan",netral,kasih bintang tanggap akun tibatiba tangguh
Bagus,positif,bagus
Mantap jiwa,positif,mantap jiwa
Pelarian klu bosan main aplikasi Mark.. Ahahaha,positif,lari klu bosan main aplikasi mark ahahaha
KON TOL KELUAR SENDIRI ANAK NGEN TOD LU ELON KON TOLODON,negatif,kon tol anak ngen tod lu elon kon tolodon
Ok,positif,ok
Impresive,positif,impresive
Semenjak saya update menjadi lemot dan ketika membaca AU /membaca komentar tidak bisa,negatif,semenjak update lot baca au baca komentar
Mntap,negatif,mntap
KOMUNITAS SAMPAH DIKIT2 ORG DI DOXXING PAS DI AJAKIN KETEMUAN GAMAU AOWKWOWK.. BANYAK SITUS PORNO JUGA BERTEBARAN..,negatif,komunitas sampah dikit org doxxing pas ajakin ketemu gamau aowkwowk situs porno tebar
Mantap,positif,mantap
Tiba2 bnget enggak bisa msk.. wakt mau masuk lagi pake akunnya lewat yg di simpan sama google tetap tidak bisa katanya salah..,negatif,bnget msk wakt masuk pake akun yg simpan google salah
Dikit² log out sendiri pas login di blokir aktivitas masuk nya apa sih apk ga jelas benerin woyyyy sampah banget nih apk,negatif,dikit log out pas login blokir aktivitas masuk nya sih apk ga benerin woyyyy sampah banget nih apk
"This is crazy, every day my account is always verified!!",negatif,this is crazy every day my account is always verified
